PENDING,Dummy2,representante@domain.pt,representante,representante,REPRESENTANTE
REGISTERED,Dummy3,fae@domain.pt,FAE,FAE,FAE
REGISTERED,Dummy4 alterado,gestor@domain.pt,gestor,gestor,GESTOR
REGISTERED,Dummy5,organizador@domain.pt,organizador,organizador,ORGANIZADOR
PENDING,fdfd,fdd@isep.ipp.pt,fddffdfd,dfdgf,FAE
PENDING,nome,email@server.com,username,password,FAE
PENDING,nome,email@server.com,username,password,FAE
PENDING,nome,email@server.com,username,password,FAE
PENDING,nome,email@server.com,username,password,FAE
PENDING,nome,email@server.com,username,password,FAE
PENDING,nome,email@server.com,username,password,FAE
PENDING,xpto,fae@isep.ipp.pt,sdnf,dfjdfjkn,FAE
PENDING,dfd,fse@isep.ipp.pt,edf,rger,REPRESENTANTE
PENDING,Marcos,1140956@isep.ipp.pt,1140953,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,user,email,user,password,fae
PENDING,user1,email1,user1,password1,organizador
PENDING,user,email,user,password,fae
PENDING,Exp,email,username,password,FAE
PENDING,Exp,email,username,password,FAE
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140953,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,user,email,user,password,fae
PENDING,user1,email1,user1,password1,organizador
PENDING,user,email,user,password,fae
PENDING,Exp,email,username,password,FAE
PENDING,Exp,email,username,password,FAE
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140953,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,user,email,user,password,fae
PENDING,user1,email1,user1,password1,organizador
PENDING,user,email,user,password,fae
PENDING,Exp,email,username,password,FAE
PENDING,Exp,email,username,password,FAE
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140953,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Exp,email,username,password,FAE
PENDING,Exp,email,username,password,FAE
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140953,xpto,organizador
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Exp,email,username,password,FAE
PENDING,Exp,email,username,password,FAE
PENDING,Marcos,1140956@isep.ipp.pt,1140956,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
PENDING,Sara,1140957@isep.ipp.pt,1140957,xpto,organizador
